Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My_2nd_TestSuite,Chrome 119.0.0.0,,,2023-11-27 11:06:52,2023-11-27 11:17:18,10m - 26.101s,FAILED
,,,,,,,
Test Cases/JPetStore/My_2nd_Testcase_Msk,Chrome 119.0.0.0,,,2023-11-27 11:12:20,2023-11-27 11:12:24,3.624s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 11:12:20,2023-11-27 11:12:22,1.811s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-27 11:12:22,2023-11-27 11:12:23,1.550s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo (1)/a_Dogs""))",Chrome 119.0.0.0,,,2023-11-27 11:12:23,2023-11-27 11:12:24,0.247s,FAILED
,,,,,,,
Test Cases/JPetStore/My_1st_TestCase_Msk,Chrome 119.0.0.0,,,2023-11-27 11:16:30,2023-11-27 11:17:18,48.447s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 11:16:30,2023-11-27 11:16:31,1.771s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-27 11:16:31,2023-11-27 11:16:34,3.074s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Fish""))",Chrome 119.0.0.0,,,2023-11-27 11:16:34,2023-11-27 11:16:36,1.035s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 119.0.0.0,,,2023-11-27 11:16:36,2023-11-27 11:16:36,0.879s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Add to Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:16:36,2023-11-27 11:16:37,1.082s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_true_EST-1""), ""2"")",Chrome 119.0.0.0,,,2023-11-27 11:16:37,2023-11-27 11:16:38,0.849s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Update Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:16:38,2023-11-27 11:16:39,1.096s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 119.0.0.0,,,2023-11-27 11:16:39,2023-11-27 11:16:41,1.210s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 11:16:41,2023-11-27 11:16:42,1.745s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:16:42,2023-11-27 11:16:43,0.803s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Ship to different address_shippingAdd_0f9b79""))",Chrome 119.0.0.0,,,2023-11-27 11:16:43,2023-11-27 11:17:18,34.890s,FAILED
