Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My_1st_Testsuite_Msk,Chrome 119.0.0.0,,,2023-11-27 11:18:53,2023-11-27 11:22:21,3m - 28.085s,FAILED
,,,,,,,
Test Cases/JPetStore/My_1st_TestCase_Msk,Chrome 119.0.0.0,,,2023-11-27 11:21:34,2023-11-27 11:22:21,47.436s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 11:21:34,2023-11-27 11:21:35,1.765s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-27 11:21:35,2023-11-27 11:21:39,3.017s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Fish""))",Chrome 119.0.0.0,,,2023-11-27 11:21:39,2023-11-27 11:21:39,0.852s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 119.0.0.0,,,2023-11-27 11:21:39,2023-11-27 11:21:40,0.848s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Add to Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:21:40,2023-11-27 11:21:41,1.169s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_true_EST-1""), ""2"")",Chrome 119.0.0.0,,,2023-11-27 11:21:41,2023-11-27 11:21:42,0.768s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Update Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:21:42,2023-11-27 11:21:43,1.087s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 119.0.0.0,,,2023-11-27 11:21:43,2023-11-27 11:21:44,1.176s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 11:21:44,2023-11-27 11:21:46,1.502s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:21:46,2023-11-27 11:21:47,0.682s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Ship to different address_shippingAdd_0f9b79""))",Chrome 119.0.0.0,,,2023-11-27 11:21:47,2023-11-27 11:22:21,34.568s,FAILED
